# Atomic cross section. IZ =  11
# Pratt's renormalization correction is applied
#   5   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  1.0708000E+03 eV
#  2  L1  EION =  6.3500000E+01 eV
#  3  L2  EION =  3.0650000E+01 eV
#  4  L3  EION =  3.0810000E+01 eV
#  5  M1  EION =  2.7790000E+00 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  2.4445341E-18
  1.0000195E-02  2.4445351E-18
  1.0000293E-02  2.4445361E-18
  1.0000391E-02  2.4445371E-18
  1.0000488E-02  2.4445381E-18
  1.0000586E-02  2.4445391E-18
  1.0000684E-02  2.4445401E-18
  1.0000781E-02  2.4445411E-18
  1.0000977E-02  2.4445431E-18
  1.0001172E-02  2.4445451E-18
  1.0001563E-02  2.4445491E-18
  1.0002344E-02  2.4445571E-18
  1.0003125E-02  2.4445652E-18
  1.0004688E-02  2.4445812E-18
  1.0006250E-02  2.4445972E-18
  1.0009375E-02  2.4446292E-18
  1.0012500E-02  2.4446613E-18
  1.0018750E-02  2.4447254E-18
  1.0025000E-02  2.4447894E-18
  1.0037500E-02  2.4449176E-18
  1.0050000E-02  2.4450457E-18
  1.0075000E-02  2.4453021E-18
  1.0100000E-02  2.4455584E-18
  1.0150000E-02  2.4460710E-18
  1.0200000E-02  2.4465836E-18
  1.0300000E-02  2.4476089E-18
  1.0400000E-02  2.4486342E-18
  1.0600000E-02  2.4506849E-18
  1.0800000E-02  2.4527356E-18
  1.1000000E-02  2.4547865E-18
  1.2000000E-02  2.4650446E-18
  1.3000000E-02  2.4753122E-18
  1.4000000E-02  2.4855940E-18
  1.5000000E-02  2.4958946E-18
  1.6000000E-02  2.5062189E-18
  1.7000000E-02  2.5165715E-18
  1.8000000E-02  2.5269572E-18
  1.9000000E-02  2.5373807E-18
  2.0000000E-02  2.5478467E-18
  2.2000000E-02  2.5689252E-18
  2.4000000E-02  2.5902305E-18
  2.6000000E-02  2.6118004E-18
  2.8000000E-02  2.6336727E-18
  3.0000000E-02  2.6558736E-18
  3.2000000E-02  2.6784064E-18
  3.4000000E-02  2.7012716E-18
  3.6000000E-02  2.7244694E-18
  3.8000000E-02  2.7480004E-18
  4.0000000E-02  2.7718649E-18
  4.2500000E-02  2.8021650E-18
  4.5000000E-02  2.8329877E-18
  4.7500000E-02  2.8643336E-18
  5.0000000E-02  2.8962036E-18
  5.2500000E-02  2.9285984E-18
  5.5000000E-02  2.9615189E-18
  5.7500000E-02  2.9949723E-18
  6.0000000E-02  3.0289748E-18
  6.2500000E-02  3.0635435E-18
  6.5000000E-02  3.0986952E-18
  6.7500000E-02  3.1344469E-18
  7.0000000E-02  3.1708155E-18
  7.2500000E-02  3.2078179E-18
  7.5000000E-02  3.2454712E-18
  8.0000000E-02  3.3227979E-18
  8.5000000E-02  3.4029312E-18
  9.0000000E-02  3.4860094E-18
  9.5000000E-02  3.5721810E-18
  1.0000000E-01  3.6615971E-18
  1.1000000E-01  3.8507711E-18
  1.2000000E-01  4.0549588E-18
  1.3000000E-01  4.2758873E-18
  1.4000000E-01  4.5153386E-18
  1.5000000E-01  4.7754396E-18
  1.6000000E-01  5.0586518E-18
  1.7000000E-01  5.3678148E-18
  1.8000000E-01  5.7061650E-18
  1.9000000E-01  6.0774663E-18
  2.0000000E-01  6.4861419E-18
  2.1000000E-01  6.9375414E-18
  2.2000000E-01  7.4375432E-18
  2.3000000E-01  7.9934787E-18
  2.4000000E-01  8.6139952E-18
  2.5000000E-01  9.3094725E-18
  2.6000000E-01  1.0092437E-17
  2.7000000E-01  1.0978054E-17
  2.8000000E-01  1.1985184E-17
  2.9000000E-01  1.3136915E-17
  3.0000000E-01  1.4461734E-17
  3.1000000E-01  1.5997155E-17
  3.2000000E-01  1.7788616E-17
  3.3000000E-01  1.9896493E-17
  3.4000000E-01  2.2399230E-17
  3.5000000E-01  2.5400880E-17
  3.5500000E-01  2.7131021E-17
  3.6000000E-01  2.9041920E-17
  3.6500000E-01  3.1159949E-17
  3.7000000E-01  3.3515012E-17
  3.7500000E-01  3.6144278E-17
  3.8000000E-01  3.9089902E-17
  3.8500000E-01  4.2405533E-17
  3.9000000E-01  4.6154605E-17
  3.9500000E-01  5.0412547E-17
  4.0000000E-01  5.5275125E-17
  4.0625000E-01  6.2384032E-17
  4.1250000E-01  7.0916341E-17
  4.1875000E-01  8.1264935E-17
  4.2187500E-01  8.7279947E-17
  4.2500000E-01  9.3961015E-17
  4.2812500E-01  1.0140808E-16
  4.3125000E-01  1.0973397E-16
  4.3437500E-01  1.1907740E-16
  4.3750000E-01  1.2959726E-16
  4.4062500E-01  1.4149021E-16
  4.4375000E-01  1.5498014E-16
  4.4687500E-01  1.7034743E-16
