# Atomic cross section. IZ =  62
# Pratt's renormalization correction is applied
#  20   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  4.6834000E+04 eV
#  2  L1  EION =  7.7370000E+03 eV
#  3  L2  EION =  7.3120000E+03 eV
#  4  L3  EION =  6.7160000E+03 eV
#  5  M1  EION =  1.7230000E+03 eV
#  6  M2  EION =  1.5410000E+03 eV
#  7  M3  EION =  1.4200000E+03 eV
#  8  M4  EION =  1.1109000E+03 eV
#  9  M5  EION =  1.0834000E+03 eV
# 10  N1  EION =  3.4720000E+02 eV
# 11  N2  EION =  2.6560000E+02 eV
# 12  N3  EION =  2.4740000E+02 eV
# 13  N4  EION =  1.2900000E+02 eV
# 14  N5  EION =  1.2900000E+02 eV
# 17  O1  EION =  3.7400000E+01 eV
# 18  O2  EION =  2.1300000E+01 eV
# 19  O3  EION =  2.1300000E+01 eV
# 15  N6  EION =  5.2000000E+00 eV
# 20  O4  EION =  2.9300000E+00 eV
# 24  P1  EION =  2.9300000E+00 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  6.3793940E-18
  1.0000195E-02  6.3793965E-18
  1.0000293E-02  6.3793990E-18
  1.0000391E-02  6.3794015E-18
  1.0000488E-02  6.3794040E-18
  1.0000586E-02  6.3794065E-18
  1.0000684E-02  6.3794091E-18
  1.0000781E-02  6.3794116E-18
  1.0001172E-02  6.3794216E-18
  1.0001563E-02  6.3794317E-18
  1.0002344E-02  6.3794518E-18
  1.0003125E-02  6.3794719E-18
  1.0004688E-02  6.3795121E-18
  1.0006250E-02  6.3795524E-18
  1.0009375E-02  6.3796328E-18
  1.0012500E-02  6.3797133E-18
  1.0018750E-02  6.3798742E-18
  1.0025000E-02  6.3800351E-18
  1.0037500E-02  6.3803569E-18
  1.0050000E-02  6.3806787E-18
  1.0075000E-02  6.3813224E-18
  1.0100000E-02  6.3819662E-18
  1.0150000E-02  6.3832541E-18
  1.0200000E-02  6.3845424E-18
  1.0300000E-02  6.3871202E-18
  1.0400000E-02  6.3896996E-18
  1.0600000E-02  6.3948632E-18
  1.0800000E-02  6.4000330E-18
  1.1000000E-02  6.4052091E-18
  1.2000000E-02  6.4311850E-18
  1.3000000E-02  6.4573202E-18
  1.4000000E-02  6.4836162E-18
  1.5000000E-02  6.5100742E-18
  1.6000000E-02  6.5366956E-18
  1.7000000E-02  6.5634818E-18
  1.8000000E-02  6.5904340E-18
  1.9000000E-02  6.6175537E-18
  2.0000000E-02  6.6448423E-18
  2.2000000E-02  6.6999317E-18
  2.4000000E-02  6.7557135E-18
  2.6000000E-02  6.8121995E-18
  2.8000000E-02  6.8694016E-18
  3.0000000E-02  6.9273318E-18
  3.2000000E-02  6.9860027E-18
  3.4000000E-02  7.0454269E-18
  3.6000000E-02  7.1056173E-18
  3.8000000E-02  7.1665871E-18
  4.0000000E-02  7.2283500E-18
  4.2500000E-02  7.3066898E-18
  4.5000000E-02  7.3863178E-18
  4.7500000E-02  7.4672625E-18
  5.0000000E-02  7.5495531E-18
  5.2500000E-02  7.6332195E-18
  5.5000000E-02  7.7182926E-18
  5.7500000E-02  7.8048040E-18
  6.0000000E-02  7.8927865E-18
  6.2500000E-02  7.9822734E-18
  6.5000000E-02  8.0732994E-18
  6.7500000E-02  8.1658999E-18
  7.0000000E-02  8.2601113E-18
  7.2500000E-02  8.3559713E-18
  7.5000000E-02  8.4535186E-18
  8.0000000E-02  8.6538352E-18
  8.5000000E-02  8.8613940E-18
  9.0000000E-02  9.0765484E-18
  9.5000000E-02  9.2996731E-18
  1.0000000E-01  9.5311665E-18
  1.1000000E-01  1.0020981E-17
  1.2000000E-01  1.0549718E-17
  1.3000000E-01  1.1121609E-17
  1.4000000E-01  1.1741476E-17
  1.5000000E-01  1.2414834E-17
  1.6000000E-01  1.3148011E-17
  1.7000000E-01  1.3948297E-17
  1.8000000E-01  1.4824126E-17
  1.9000000E-01  1.5785296E-17
  2.0000000E-01  1.6843241E-17
  2.2000000E-01  1.9305506E-17
  2.4000000E-01  2.2350431E-17
  2.6000000E-01  2.6176590E-17
  2.8000000E-01  3.1074913E-17
  2.9000000E-01  3.4055350E-17
  3.0000000E-01  3.7484929E-17
  3.1000000E-01  4.1456109E-17
  3.2000000E-01  4.6093374E-17
  3.3000000E-01  5.1548005E-17
  3.4000000E-01  5.8024380E-17
  3.5000000E-01  6.5791891E-17
  3.6000000E-01  7.5213586E-17
  3.7000000E-01  8.6788683E-17
  3.8000000E-01  1.0121520E-16
  3.9000000E-01  1.1949443E-16
  3.9500000E-01  1.3051295E-16
  4.0000000E-01  1.4309498E-16
  4.0625000E-01  1.6149014E-16
  4.1250000E-01  1.8356870E-16
  4.1875000E-01  2.1034676E-16
  4.2500000E-01  2.4319921E-16
  4.3125000E-01  2.8401279E-16
  4.3750000E-01  3.3541210E-16
  4.4375000E-01  4.0109245E-16
  4.5000000E-01  4.8630533E-16
  4.5625000E-01  5.9850891E-16
