# Atomic cross section. IZ =  64
# Pratt's renormalization correction is applied
#  21   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  5.0239000E+04 eV
#  2  L1  EION =  8.3760000E+03 eV
#  3  L2  EION =  7.9300000E+03 eV
#  4  L3  EION =  7.2430000E+03 eV
#  5  M1  EION =  1.8810000E+03 eV
#  6  M2  EION =  1.6880000E+03 eV
#  7  M3  EION =  1.5440000E+03 eV
#  8  M4  EION =  1.2219000E+03 eV
#  9  M5  EION =  1.1896000E+03 eV
# 10  N1  EION =  3.7860000E+02 eV
# 11  N2  EION =  2.8600000E+02 eV
# 12  N3  EION =  2.7100000E+02 eV
# 13  N4  EION =  1.4034000E+02 eV
# 14  N5  EION =  1.4034000E+02 eV
# 17  O1  EION =  3.6000000E+01 eV
# 18  O2  EION =  2.8000000E+01 eV
# 19  O3  EION =  2.1000000E+01 eV
# 15  N6  EION =  8.6000000E+00 eV
# 16  N7  EION =  8.6000000E+00 eV
# 20  O4  EION =  3.1000000E+00 eV
# 24  P1  EION =  3.1000000E+00 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  5.8597730E-18
  1.0000195E-02  5.8597753E-18
  1.0000293E-02  5.8597776E-18
  1.0000391E-02  5.8597799E-18
  1.0000488E-02  5.8597822E-18
  1.0000586E-02  5.8597845E-18
  1.0000684E-02  5.8597868E-18
  1.0000781E-02  5.8597891E-18
  1.0001172E-02  5.8597984E-18
  1.0001563E-02  5.8598076E-18
  1.0002344E-02  5.8598260E-18
  1.0003125E-02  5.8598445E-18
  1.0004688E-02  5.8598813E-18
  1.0006250E-02  5.8599182E-18
  1.0009375E-02  5.8599920E-18
  1.0012500E-02  5.8600657E-18
  1.0018750E-02  5.8602133E-18
  1.0025000E-02  5.8603608E-18
  1.0037500E-02  5.8606559E-18
  1.0050000E-02  5.8609509E-18
  1.0075000E-02  5.8615411E-18
  1.0100000E-02  5.8621313E-18
  1.0150000E-02  5.8633121E-18
  1.0200000E-02  5.8644933E-18
  1.0300000E-02  5.8668568E-18
  1.0400000E-02  5.8692217E-18
  1.0600000E-02  5.8739559E-18
  1.0800000E-02  5.8786959E-18
  1.1000000E-02  5.8834416E-18
  1.2000000E-02  5.9072575E-18
  1.3000000E-02  5.9312195E-18
  1.4000000E-02  5.9553289E-18
  1.5000000E-02  5.9795868E-18
  1.6000000E-02  6.0039945E-18
  1.7000000E-02  6.0285532E-18
  1.8000000E-02  6.0532642E-18
  1.9000000E-02  6.0781287E-18
  2.0000000E-02  6.1031480E-18
  2.2000000E-02  6.1536561E-18
  2.4000000E-02  6.2047991E-18
  2.6000000E-02  6.2565875E-18
  2.8000000E-02  6.3090324E-18
  3.0000000E-02  6.3621448E-18
  3.2000000E-02  6.4159361E-18
  3.4000000E-02  6.4704180E-18
  3.6000000E-02  6.5256023E-18
  3.8000000E-02  6.5815012E-18
  4.0000000E-02  6.6381270E-18
  4.2500000E-02  6.7099508E-18
  4.5000000E-02  6.7829556E-18
  4.7500000E-02  6.8571674E-18
  5.0000000E-02  6.9326129E-18
  5.2500000E-02  7.0093197E-18
  5.5000000E-02  7.0873161E-18
  5.7500000E-02  7.1666310E-18
  6.0000000E-02  7.2472944E-18
  6.2500000E-02  7.3293371E-18
  6.5000000E-02  7.4127905E-18
  6.7500000E-02  7.4976873E-18
  7.0000000E-02  7.5840609E-18
  7.2500000E-02  7.6719458E-18
  7.5000000E-02  7.7613774E-18
  8.0000000E-02  7.9450279E-18
  8.5000000E-02  8.1353174E-18
  9.0000000E-02  8.3325699E-18
  9.5000000E-02  8.5371290E-18
  1.0000000E-01  8.7493600E-18
  1.1000000E-01  9.1984152E-18
  1.2000000E-01  9.6831513E-18
  1.3000000E-01  1.0207448E-17
  1.4000000E-01  1.0775727E-17
  1.5000000E-01  1.1393041E-17
  1.6000000E-01  1.2065193E-17
  1.7000000E-01  1.2798865E-17
  1.8000000E-01  1.3601790E-17
  1.9000000E-01  1.4482951E-17
  2.0000000E-01  1.5452833E-17
  2.2000000E-01  1.7710147E-17
  2.4000000E-01  2.0501524E-17
  2.6000000E-01  2.4009263E-17
  2.8000000E-01  2.8499903E-17
  3.0000000E-01  3.4375377E-17
  3.2000000E-01  4.2267915E-17
  3.3000000E-01  4.7268479E-17
  3.4000000E-01  5.3205747E-17
  3.5000000E-01  6.0326661E-17
  3.6000000E-01  6.8964196E-17
  3.7000000E-01  7.9575601E-17
  3.8000000E-01  9.2801281E-17
  3.9000000E-01  1.0955613E-16
  4.0000000E-01  1.3119423E-16
  4.1250000E-01  1.6829834E-16
  4.1875000E-01  1.9284659E-16
  4.2500000E-01  2.2296395E-16
  4.3125000E-01  2.6037932E-16
  4.3750000E-01  3.0749947E-16
  4.4375000E-01  3.6770985E-16
  4.5000000E-01  4.4582605E-16
  4.5625000E-01  5.4869063E-16
  4.6250000E-01  6.8583162E-16
  4.6875000E-01  8.6987128E-16
  4.7500000E-01  1.1144377E-15
  4.7812500E-01  1.2623711E-15
  4.8125000E-01  1.4264613E-15
  4.8437500E-01  1.6027481E-15
  4.8750000E-01  1.7830437E-15
  4.9375000E-01  2.0976927E-15
  4.9687500E-01  2.1944281E-15
  5.0000000E-01  2.2287788E-15
  5.0312500E-01  2.1944901E-15
  5.0625000E-01  2.0976683E-15
  5.1250000E-01  1.7830466E-15
  5.1562500E-01  1.6027610E-15
  5.1875000E-01  1.4264780E-15
  5.2187500E-01  1.2623778E-15
  5.2500000E-01  1.1144515E-15
  5.3125000E-01  8.6983475E-16
  5.3750000E-01  6.8585810E-16
  5.4375000E-01  5.4867483E-16
  5.5000000E-01  4.4584581E-16
  5.5625000E-01  3.6772623E-16
  5.6250000E-01  3.0751440E-16
  5.6875000E-01  2.6039451E-16
  5.7500000E-01  2.2297989E-16
  5.8125000E-01  1.9286020E-16
  5.8750000E-01  1.6831579E-16
  5.9375000E-01  1.4807499E-16
  6.0000000E-01  1.3121231E-16
  6.0625000E-01  1.1702988E-16
  6.1250000E-01  1.0499545E-16
  6.2500000E-01  8.5836151E-17
  6.3750000E-01  7.1437248E-17
  6.5000000E-01  6.0356028E-17
  6.6250000E-01  5.1653145E-17
  6.7500000E-01  4.4698395E-17
  6.8750000E-01  3.9055595E-17
  7.0000000E-01  3.4415885E-17
  7.2500000E-01  2.7310814E-17
  7.5000000E-01  2.2202392E-17
  7.7500000E-01  1.8408663E-17
  8.0000000E-01  1.5515787E-17
  8.2500000E-01  1.3260602E-17
  8.5000000E-01  1.1469254E-17
  8.7500000E-01  1.0023442E-17
  9.0000000E-01  8.8402420E-18
  9.2500000E-01  7.8602829E-18
  9.5000000E-01  7.0400686E-18
  1.0000000E+00  5.7573061E-18
  1.0500000E+00  4.8150463E-18
  1.1000000E+00  4.1071501E-18
  1.1500000E+00  3.5673653E-18
  1.2000000E+00  3.1534033E-18
  1.3000000E+00  2.6068250E-18
  1.3500000E+00  2.4525099E-18
  1.4000000E+00  2.3806712E-18
  1.4250000E+00  2.3818181E-18
  1.4500000E+00  2.4144414E-18
  1.4750000E+00  2.4874366E-18
  1.5000000E+00  2.6151863E-18
  1.5250000E+00  2.8215354E-18
  1.5500000E+00  3.1483550E-18
  1.5625000E+00  3.3789008E-18
  1.5750000E+00  3.6734326E-18
  1.5875000E+00  4.0546549E-18
  1.6000000E+00  4.5567459E-18
  1.6125000E+00  5.2333572E-18
  1.6250000E+00  6.1720783E-18
  1.6375000E+00  7.5242236E-18
  1.6437500E+00  8.4339131E-18
  1.6500000E+00  9.5659281E-18
  1.6562500E+00  1.0995287E-17
  1.6625000E+00  1.2826733E-17
  1.6687500E+00  1.5203760E-17
  1.6750000E+00  1.8310393E-17
  1.6812500E+00  2.2336250E-17
  1.6843750E+00  2.4727132E-17
  1.6875000E+00  2.7347849E-17
  1.6906250E+00  3.0133242E-17
  1.6937500E+00  3.2963842E-17
  1.7000000E+00  3.8000360E-17
  1.7031250E+00  3.9795801E-17
  1.7062500E+00  4.0937105E-17
  1.7093750E+00  4.1460037E-17
  1.7125000E+00  4.1538655E-17
  1.7187500E+00  4.1401393E-17
  1.7250000E+00  4.2468212E-17
  1.7281250E+00  4.3868461E-17
  1.7312500E+00  4.5977388E-17
  1.7375000E+00  5.2505173E-17
  1.7406250E+00  5.6909912E-17
  1.7437500E+00  6.1943999E-17
  1.7468750E+00  6.7358472E-17
  1.7500000E+00  7.2735968E-17
  1.7562500E+00  8.0924623E-17
  1.7593750E+00  8.2424611E-17
  1.7625000E+00  8.1638354E-17
  1.7687500E+00  7.3827169E-17
  1.7718750E+00  6.7890209E-17
  1.7750000E+00  6.1464730E-17
  1.7781250E+00  5.5068789E-17
  1.7812500E+00  4.9038704E-17
  1.7843750E+00  4.3553415E-17
  1.7875000E+00  3.8679971E-17
  1.7937500E+00  3.0690361E-17
  1.8000000E+00  2.4693049E-17
  1.8062500E+00  2.0196678E-17
  1.8125000E+00  1.6793899E-17
  1.8187500E+00  1.4182430E-17
  1.8250000E+00  1.2147421E-17
  1.8312500E+00  1.0537479E-17
  1.8375000E+00  9.2454946E-18
  1.8437500E+00  8.1948929E-18
  1.8500000E+00  7.3302044E-18
  1.8625000E+00  6.0059700E-18
  1.8750000E+00  5.0547008E-18
  1.8875000E+00  4.3495523E-18
  1.9000000E+00  3.8131813E-18
  1.9125000E+00  3.3963571E-18
  1.9250000E+00  3.0668899E-18
